id,paper_id,primers,longitude,latitude,continent,sample_type,Biome,marker_size,MAT,MAP,pH,year_of_sampling,plants_dominant,target_gene,sequencing_platform,Sample,Spring/Fall,Original_Sample_ID,Original,Sample,ID,sitePlot,Plot_Loc,Plot_Loc_Rep,Country,State,Site,Remnant,LUH,Depth_cm,SiteLat,SiteLong,CoordLat,CoordLong
MAPS_FA18_EKS_P04_S030,Ramos_2024,LROR/FLR2,-95.273917,38.181233,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_26_S26_L001,Fall,EKS_P04_S030,EKS,P04,S030,EKS_P04,EKS_P,4,US,KS,EKS,No,P,30,38.181,-95.273,38.181233,-95.273917
MAPS_FA18_EKS_P04_S075,Ramos_2024,LROR/FLR2,-95.273917,38.181233,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_28_S28_L001,Fall,EKS_P04_S075,EKS,P04,S075,EKS_P04,EKS_P,4,US,KS,EKS,No,P,75,38.181,-95.273,38.181233,-95.273917
MAPS_FA18_EKS_P04_S120,Ramos_2024,LROR/FLR2,-95.273917,38.181233,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_18_S18_L001,Fall,EKS_P04_S120,EKS,P04,S120,EKS_P04,EKS_P,4,US,KS,EKS,No,P,120,38.181,-95.273,38.181233,-95.273917
MAPS_FA18_HAY_A01_S005,Ramos_2024,LROR/FLR2,-99.314623,38.842726,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_64_S64_L001,Fall,HAY_A01_S005,HAY,A01,S005,HAY_A01,HAY_A,1,US,KS,HAY,No,A,5,38.844,-99.317,38.842726,-99.314623
MAPS_FA18_HAY_A01_S015,Ramos_2024,LROR/FLR2,-99.314623,38.842726,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_74_S74_L001,Fall,HAY_A01_S015,HAY,A01,S015,HAY_A01,HAY_A,1,US,KS,HAY,No,A,15,38.844,-99.317,38.842726,-99.314623
MAPS_FA18_HAY_A01_S030,Ramos_2024,LROR/FLR2,-99.314623,38.842726,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_77_S77_L001,Fall,HAY_A01_S030,HAY,A01,S030,HAY_A01,HAY_A,1,US,KS,HAY,No,A,30,38.844,-99.317,38.842726,-99.314623
MAPS_FA18_HAY_A01_S075,Ramos_2024,LROR/FLR2,-99.314623,38.842726,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_69_S69_L001,Fall,HAY_A01_S075,HAY,A01,S075,HAY_A01,HAY_A,1,US,KS,HAY,No,A,75,38.844,-99.317,38.842726,-99.314623
MAPS_FA18_HAY_A01_S150,Ramos_2024,LROR/FLR2,-99.314623,38.842726,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_72_S72_L001,Fall,HAY_A01_S150,HAY,A01,S150,HAY_A01,HAY_A,1,US,KS,HAY,No,A,150,38.844,-99.317,38.842726,-99.314623
MAPS_FA18_HAY_A02_S005,Ramos_2024,LROR/FLR2,-99.314623,38.842887,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_59_S59_L001,Fall,HAY_A02_S005,HAY,A02,S005,HAY_A02,HAY_A,2,US,KS,HAY,No,A,5,38.844,-99.317,38.842887,-99.314623
MAPS_FA18_HAY_A02_S015,Ramos_2024,LROR/FLR2,-99.314623,38.842887,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_76_S76_L001,Fall,HAY_A02_S015,HAY,A02,S015,HAY_A02,HAY_A,2,US,KS,HAY,No,A,15,38.844,-99.317,38.842887,-99.314623
